# DavinciArm telemetry export
# Points=980
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
0.873985,,180.994555,,1
0.904223,170.939878,170.939878,0.000000,1
0.904241,,170.939878,,1
0.904244,180.013735,180.013734,-0.000001,1
0.904246,,180.013734,,1
0.904248,180.193421,180.193418,-0.000003,1
0.904250,,180.193418,,1
0.904251,180.528777,180.528775,-0.000002,1
0.904255,,180.528775,,1
0.904256,180.994553,180.994555,0.000003,1
0.904258,,180.994555,,1
0.934493,171.066686,170.939878,-0.126808,1
0.934506,,170.939878,,1
0.934509,179.980241,180.013734,0.033492,1
0.934515,,180.013734,,1
0.934517,179.732055,180.193418,0.461363,1
0.934521,,180.193418,,1
0.934523,179.096382,180.528775,1.432392,1
0.934528,,180.528775,,1
0.934531,179.275679,180.994555,1.718876,1
0.934535,,180.994555,,1
0.962570,170.939878,170.939878,0.000000,1
0.962585,,170.939878,,1
0.962587,180.013735,180.013734,-0.000001,1
0.962590,,180.013734,,1
0.962592,180.193421,180.193418,-0.000003,1
0.962594,,180.193418,,1
0.962595,180.528777,180.528775,-0.000002,1
0.962598,,180.528775,,1
0.962600,180.994553,180.994555,0.000003,1
0.962602,,180.994555,,1
0.992753,171.066686,170.939878,-0.126808,1
0.992769,,170.939878,,1
0.992772,179.980241,180.013734,0.033492,1
0.992777,,180.013734,,1
0.992782,179.732055,180.193418,0.461363,1
0.992785,,180.193418,,1
0.992788,179.096382,180.528775,1.432392,1
0.992792,,180.528775,,1
0.992795,179.275679,180.994555,1.718876,1
0.992799,,180.994555,,1
1.023050,170.939878,170.939878,0.000000,1
1.023069,,170.939878,,1
1.023072,180.013735,180.013734,-0.000001,1
1.023076,,180.013734,,1
1.023078,180.193421,180.193418,-0.000003,1
1.023081,,180.193418,,1
1.023083,180.528777,180.528775,-0.000002,1
1.023086,,180.528775,,1
1.023087,180.994553,180.994555,0.000003,1
1.023090,,180.994555,,1
1.053216,171.066686,170.939878,-0.126808,1
1.053240,,170.939878,,1
1.053244,179.980241,180.013734,0.033492,1
1.053250,,180.013734,,1
1.053256,179.732055,180.193418,0.461363,1
1.053259,,180.193418,,1
1.053261,179.096382,180.528775,1.432392,1
1.053266,,180.528775,,1
1.053269,179.275679,180.994555,1.718876,1
1.053272,,180.994555,,1
1.083484,170.939878,170.939878,0.000000,1
1.083496,,170.939878,,1
1.083499,180.013735,180.013734,-0.000001,1
1.083504,,180.013734,,1
1.083506,180.193421,180.193418,-0.000003,1
1.083510,,180.193418,,1
1.083512,180.528777,180.528775,-0.000002,1
1.083516,,180.528775,,1
1.083519,180.994553,180.994555,0.000003,1
1.083523,,180.994555,,1
1.113700,171.066686,170.939878,-0.126808,1
1.113722,,170.939878,,1
1.113725,179.980241,180.013734,0.033492,1
1.113731,,180.013734,,1
1.113733,179.732055,180.193418,0.461363,1
1.113737,,180.193418,,1
1.113740,179.096382,180.528775,1.432392,1
1.113747,,180.528775,,1
1.113750,179.275679,180.994555,1.718876,1
1.113754,,180.994555,,1
1.143937,170.939878,170.939878,0.000000,1
1.143954,,170.939878,,1
1.143958,180.013735,180.013734,-0.000001,1
1.143963,,180.013734,,1
1.143966,180.193421,180.193418,-0.000003,1
1.143969,,180.193418,,1
1.143972,180.528777,180.528775,-0.000002,1
1.143976,,180.528775,,1
1.143979,180.994553,180.994555,0.000003,1
1.143983,,180.994555,,1
1.174117,171.066686,170.939878,-0.126808,1
1.174132,,170.939878,,1
1.174134,179.980241,180.013734,0.033492,1
1.174137,,180.013734,,1
1.174139,179.732055,180.193418,0.461363,1
1.174141,,180.193418,,1
1.174142,179.096382,180.528775,1.432392,1
1.174146,,180.528775,,1
1.174147,179.275679,180.994555,1.718876,1
1.174150,,180.994555,,1
1.204244,170.939878,170.939878,0.000000,1
1.204286,,170.939878,,1
1.204293,180.013735,180.013734,-0.000001,1
1.204300,,180.013734,,1
1.204304,180.193421,180.193418,-0.000003,1
1.204308,,180.193418,,1
1.204312,180.528777,180.528775,-0.000002,1
1.204318,,180.528775,,1
1.204321,180.994552,180.994555,0.000003,1
1.204328,,180.994555,,1
1.235100,171.066686,170.939878,-0.126808,1
1.235110,,170.939878,,1
1.235112,179.980241,180.013734,0.033492,1
1.235114,,180.013734,,1
